productname                                        ListPrice             ProductSubcategory                                 ProductCategory                                    PriceRank            CategoryPriceRank    Top5PriceInCategory
Road-150 Red, 48                                   3578.27               Road Bikes                                         Bikes                                              1                    1                    YES
Road-150 Red, 52                                   3578.27               Road Bikes                                         Bikes                                              1                    1                    YES
Road-150 Red, 56                                   3578.27               Road Bikes                                         Bikes                                              1                    1                    YES
Mountain-100 Silver, 38                            3399.99               Mountain Bikes                                     Bikes                                              6                    6                    NO
Mountain-100 Silver, 42                            3399.99               Mountain Bikes                                     Bikes                                              6                    6                    NO
Mountain-100 Silver, 44                            3399.99               Mountain Bikes                                     Bikes                                              6                    6                    NO
Mountain-100 Silver, 48                            3399.99               Mountain Bikes                                     Bikes                                              6                    6                    NO
Mountain-100 Black, 38                             3374.99               Mountain Bikes                                     Bikes                                              10                   10                   NO
Mountain-100 Black, 42                             3374.99               Mountain Bikes                                     Bikes                                              10                   10                   NO
Mountain-100 Black, 44                             3374.99               Mountain Bikes                                     Bikes                                              10                   10                   NO
Mountain-100 Black, 48                             3374.99               Mountain Bikes                                     Bikes                                              10                   10                   NO
Road-250 Red, 44                                   2443.35               Road Bikes                                         Bikes                                              14                   14                   NO
Road-250 Red, 48                                   2443.35               Road Bikes                                         Bikes                                              14                   14                   NO
Road-250 Red, 52                                   2443.35               Road Bikes                                         Bikes                                              14                   14                   NO
Road-250 Red, 58                                   2443.35               Road Bikes                                         Bikes                                              14                   14                   NO
Road-250 Black, 44                                 2443.35               Road Bikes                                         Bikes                                              14                   14                   NO
Road-250 Black, 48                                 2443.35               Road Bikes                                         Bikes                                              14                   14                   NO
Road-250 Black, 52                                 2443.35               Road Bikes                                         Bikes                                              14                   14                   NO
Road-250 Black, 58                                 2443.35               Road Bikes                                         Bikes                                              14                   14                   NO
Touring-1000 Yellow, 46                            2384.07               Touring Bikes                                      Bikes                                              22                   22                   NO
Touring-1000 Yellow, 50                            2384.07               Touring Bikes                                      Bikes                                              22                   22                   NO
Touring-1000 Yellow, 54                            2384.07               Touring Bikes                                      Bikes                                              22                   22                   NO
Touring-1000 Yellow, 60                            2384.07               Touring Bikes                                      Bikes                                              22                   22                   NO
Touring-1000 Blue, 46                              2384.07               Touring Bikes                                      Bikes                                              22                   22                   NO
Touring-1000 Blue, 50                              2384.07               Touring Bikes                                      Bikes                                              22                   22                   NO
Touring-1000 Blue, 54                              2384.07               Touring Bikes                                      Bikes                                              22                   22                   NO
Touring-1000 Blue, 60                              2384.07               Touring Bikes                                      Bikes                                              22                   22                   NO
Mountain-200 Silver, 38                            2319.99               Mountain Bikes                                     Bikes                                              30                   30                   NO
Mountain-200 Silver, 42                            2319.99               Mountain Bikes                                     Bikes                                              30                   30                   NO
Mountain-200 Silver, 46                            2319.99               Mountain Bikes                                     Bikes                                              30                   30                   NO
Mountain-200 Black, 38                             2294.99               Mountain Bikes                                     Bikes                                              33                   33                   NO
Mountain-200 Black, 42                             2294.99               Mountain Bikes                                     Bikes                                              33                   33                   NO
Mountain-200 Black, 46                             2294.99               Mountain Bikes                                     Bikes                                              33                   33                   NO
Road-350-W Yellow, 40                              1700.99               Road Bikes                                         Bikes                                              36                   36                   NO
Road-350-W Yellow, 42                              1700.99               Road Bikes                                         Bikes                                              36                   36                   NO
Road-350-W Yellow, 44                              1700.99               Road Bikes                                         Bikes                                              36                   36                   NO
Road-350-W Yellow, 48                              1700.99               Road Bikes                                         Bikes                                              36                   36                   NO
Road-450 Red, 58                                   1457.99               Road Bikes                                         Bikes                                              40                   40                   NO
Road-450 Red, 60                                   1457.99               Road Bikes                                         Bikes                                              40                   40                   NO
Road-450 Red, 44                                   1457.99               Road Bikes                                         Bikes                                              40                   40                   NO
Road-450 Red, 48                                   1457.99               Road Bikes                                         Bikes                                              40                   40                   NO
Road-450 Red, 52                                   1457.99               Road Bikes                                         Bikes                                              40                   40                   NO
Touring-2000 Blue, 46                              1214.85               Touring Bikes                                      Bikes                                              66                   45                   NO
Touring-2000 Blue, 50                              1214.85               Touring Bikes                                      Bikes                                              66                   45                   NO
Touring-2000 Blue, 54                              1214.85               Touring Bikes                                      Bikes                                              66                   45                   NO
Touring-2000 Blue, 60                              1214.85               Touring Bikes                                      Bikes                                              66                   45                   NO
Road-550-W Yellow, 38                              1120.49               Road Bikes                                         Bikes                                              70                   49                   NO
Road-550-W Yellow, 40                              1120.49               Road Bikes                                         Bikes                                              70                   49                   NO
Road-550-W Yellow, 42                              1120.49               Road Bikes                                         Bikes                                              70                   49                   NO
Road-550-W Yellow, 44                              1120.49               Road Bikes                                         Bikes                                              70                   49                   NO
Road-550-W Yellow, 48                              1120.49               Road Bikes                                         Bikes                                              70                   49                   NO
Mountain-300 Black, 38                             1079.99               Mountain Bikes                                     Bikes                                              75                   54                   NO
Mountain-300 Black, 40                             1079.99               Mountain Bikes                                     Bikes                                              75                   54                   NO
Mountain-300 Black, 44                             1079.99               Mountain Bikes                                     Bikes                                              75                   54                   NO
Mountain-300 Black, 48                             1079.99               Mountain Bikes                                     Bikes                                              75                   54                   NO
Road-650 Red, 58                                   782.99                Road Bikes                                         Bikes                                              87                   58                   NO
Road-650 Red, 60                                   782.99                Road Bikes                                         Bikes                                              87                   58                   NO
Road-650 Red, 62                                   782.99                Road Bikes                                         Bikes                                              87                   58                   NO
Road-650 Red, 44                                   782.99                Road Bikes                                         Bikes                                              87                   58                   NO
Road-650 Red, 48                                   782.99                Road Bikes                                         Bikes                                              87                   58                   NO
Road-650 Red, 52                                   782.99                Road Bikes                                         Bikes                                              87                   58                   NO
Road-650 Black, 58                                 782.99                Road Bikes                                         Bikes                                              87                   58                   NO
Road-650 Black, 60                                 782.99                Road Bikes                                         Bikes                                              87                   58                   NO
Road-650 Black, 62                                 782.99                Road Bikes                                         Bikes                                              87                   58                   NO
Road-650 Black, 44                                 782.99                Road Bikes                                         Bikes                                              87                   58                   NO
Road-650 Black, 48                                 782.99                Road Bikes                                         Bikes                                              87                   58                   NO
Road-650 Black, 52                                 782.99                Road Bikes                                         Bikes                                              87                   58                   NO
Mountain-400-W Silver, 38                          769.49                Mountain Bikes                                     Bikes                                              99                   70                   NO
Mountain-400-W Silver, 40                          769.49                Mountain Bikes                                     Bikes                                              99                   70                   NO
Mountain-400-W Silver, 42                          769.49                Mountain Bikes                                     Bikes                                              99                   70                   NO
Mountain-400-W Silver, 46                          769.49                Mountain Bikes                                     Bikes                                              99                   70                   NO
Touring-3000 Blue, 44                              742.35                Touring Bikes                                      Bikes                                              103                  74                   NO
Touring-3000 Blue, 50                              742.35                Touring Bikes                                      Bikes                                              103                  74                   NO
Touring-3000 Blue, 54                              742.35                Touring Bikes                                      Bikes                                              103                  74                   NO
Touring-3000 Blue, 58                              742.35                Touring Bikes                                      Bikes                                              103                  74                   NO
Touring-3000 Blue, 62                              742.35                Touring Bikes                                      Bikes                                              103                  74                   NO
Touring-3000 Yellow, 44                            742.35                Touring Bikes                                      Bikes                                              103                  74                   NO
Touring-3000 Yellow, 50                            742.35                Touring Bikes                                      Bikes                                              103                  74                   NO
Touring-3000 Yellow, 54                            742.35                Touring Bikes                                      Bikes                                              103                  74                   NO
Touring-3000 Yellow, 58                            742.35                Touring Bikes                                      Bikes                                              103                  74                   NO
Touring-3000 Yellow, 62                            742.35                Touring Bikes                                      Bikes                                              103                  74                   NO
Mountain-500 Silver, 40                            564.99                Mountain Bikes                                     Bikes                                              123                  84                   NO
Mountain-500 Silver, 42                            564.99                Mountain Bikes                                     Bikes                                              123                  84                   NO
Mountain-500 Silver, 44                            564.99                Mountain Bikes                                     Bikes                                              123                  84                   NO
Mountain-500 Silver, 48                            564.99                Mountain Bikes                                     Bikes                                              123                  84                   NO
Mountain-500 Silver, 52                            564.99                Mountain Bikes                                     Bikes                                              123                  84                   NO
Mountain-500 Black, 40                             539.99                Mountain Bikes                                     Bikes                                              128                  89                   NO
Mountain-500 Black, 42                             539.99                Mountain Bikes                                     Bikes                                              128                  89                   NO
Mountain-500 Black, 44                             539.99                Mountain Bikes                                     Bikes                                              128                  89                   NO
Mountain-500 Black, 48                             539.99                Mountain Bikes                                     Bikes                                              128                  89                   NO
Mountain-500 Black, 52                             539.99                Mountain Bikes                                     Bikes                                              128                  89                   NO
Road-750 Black, 44                                 539.99                Road Bikes                                         Bikes                                              128                  89                   NO
Road-750 Black, 48                                 539.99                Road Bikes                                         Bikes                                              128                  89                   NO
Road-750 Black, 52                                 539.99                Road Bikes                                         Bikes                                              128                  89                   NO
Road-750 Black, 58                                 539.99                Road Bikes                                         Bikes                                              128                  89                   NO
Men's Bib-Shorts, S                                89.99                 Bib-Shorts                                         Clothing                                           208                  1                    YES
Men's Bib-Shorts, M                                89.99                 Bib-Shorts                                         Clothing                                           208                  1                    YES
Men's Bib-Shorts, L                                89.99                 Bib-Shorts                                         Clothing                                           208                  1                    YES
Women's Tights, S                                  74.99                 Tights                                             Clothing                                           216                  4                    YES
Women's Tights, M                                  74.99                 Tights                                             Clothing                                           216                  4                    YES
Women's Tights, L                                  74.99                 Tights                                             Clothing                                           216                  4                    YES
Women's Mountain Shorts, S                         69.99                 Shorts                                             Clothing                                           219                  7                    NO
Women's Mountain Shorts, M                         69.99                 Shorts                                             Clothing                                           219                  7                    NO
Women's Mountain Shorts, L                         69.99                 Shorts                                             Clothing                                           219                  7                    NO
Classic Vest, S                                    63.50                 Vests                                              Clothing                                           222                  10                   NO
Classic Vest, M                                    63.50                 Vests                                              Clothing                                           222                  10                   NO
Classic Vest, L                                    63.50                 Vests                                              Clothing                                           222                  10                   NO
Men's Sports Shorts, M                             59.99                 Shorts                                             Clothing                                           230                  13                   NO
Men's Sports Shorts, L                             59.99                 Shorts                                             Clothing                                           230                  13                   NO
Men's Sports Shorts, XL                            59.99                 Shorts                                             Clothing                                           230                  13                   NO
Men's Sports Shorts, S                             59.99                 Shorts                                             Clothing                                           230                  13                   NO
Short-Sleeve Classic Jersey, S                     53.99                 Jerseys                                            Clothing                                           235                  17                   NO
Short-Sleeve Classic Jersey, M                     53.99                 Jerseys                                            Clothing                                           235                  17                   NO
Short-Sleeve Classic Jersey, L                     53.99                 Jerseys                                            Clothing                                           235                  17                   NO
Short-Sleeve Classic Jersey, XL                    53.99                 Jerseys                                            Clothing                                           235                  17                   NO
Long-Sleeve Logo Jersey, S                         49.99                 Jerseys                                            Clothing                                           243                  21                   NO
Long-Sleeve Logo Jersey, M                         49.99                 Jerseys                                            Clothing                                           243                  21                   NO
Long-Sleeve Logo Jersey, L                         49.99                 Jerseys                                            Clothing                                           243                  21                   NO
Long-Sleeve Logo Jersey, XL                        49.99                 Jerseys                                            Clothing                                           243                  21                   NO
Full-Finger Gloves, S                              37.99                 Gloves                                             Clothing                                           256                  25                   NO
Full-Finger Gloves, M                              37.99                 Gloves                                             Clothing                                           256                  25                   NO
Full-Finger Gloves, L                              37.99                 Gloves                                             Clothing                                           256                  25                   NO
Half-Finger Gloves, S                              24.49                 Gloves                                             Clothing                                           275                  28                   NO
Half-Finger Gloves, M                              24.49                 Gloves                                             Clothing                                           275                  28                   NO
Half-Finger Gloves, L                              24.49                 Gloves                                             Clothing                                           275                  28                   NO
Mountain Bike Socks, M                             9.50                  Socks                                              Clothing                                           284                  31                   NO
Mountain Bike Socks, L                             9.50                  Socks                                              Clothing                                           284                  31                   NO
AWC Logo Cap                                       8.99                  Caps                                               Clothing                                           286                  33                   NO
Racing Socks, M                                    8.99                  Socks                                              Clothing                                           286                  33                   NO
Racing Socks, L                                    8.99                  Socks                                              Clothing                                           286                  33                   NO
HL Road Frame - Black, 58                          1431.50               Road Frames                                        Components                                         45                   1                    YES
HL Road Frame - Red, 58                            1431.50               Road Frames                                        Components                                         45                   1                    YES
HL Road Frame - Red, 62                            1431.50               Road Frames                                        Components                                         45                   1                    YES
HL Road Frame - Red, 44                            1431.50               Road Frames                                        Components                                         45                   1                    YES
HL Road Frame - Red, 48                            1431.50               Road Frames                                        Components                                         45                   1                    YES
HL Road Frame - Red, 52                            1431.50               Road Frames                                        Components                                         45                   1                    YES
HL Road Frame - Red, 56                            1431.50               Road Frames                                        Components                                         45                   1                    YES
HL Road Frame - Black, 62                          1431.50               Road Frames                                        Components                                         45                   1                    YES
HL Road Frame - Black, 44                          1431.50               Road Frames                                        Components                                         45                   1                    YES
HL Road Frame - Black, 48                          1431.50               Road Frames                                        Components                                         45                   1                    YES
HL Road Frame - Black, 52                          1431.50               Road Frames                                        Components                                         45                   1                    YES
HL Mountain Frame - Silver, 38                     1364.50               Mountain Frames                                    Components                                         56                   12                   NO
HL Mountain Frame - Silver, 42                     1364.50               Mountain Frames                                    Components                                         56                   12                   NO
HL Mountain Frame - Silver, 44                     1364.50               Mountain Frames                                    Components                                         56                   12                   NO
HL Mountain Frame - Silver, 48                     1364.50               Mountain Frames                                    Components                                         56                   12                   NO
HL Mountain Frame - Silver, 46                     1364.50               Mountain Frames                                    Components                                         56                   12                   NO
HL Mountain Frame - Black, 42                      1349.60               Mountain Frames                                    Components                                         61                   17                   NO
HL Mountain Frame - Black, 44                      1349.60               Mountain Frames                                    Components                                         61                   17                   NO
HL Mountain Frame - Black, 48                      1349.60               Mountain Frames                                    Components                                         61                   17                   NO
HL Mountain Frame - Black, 46                      1349.60               Mountain Frames                                    Components                                         61                   17                   NO
HL Mountain Frame - Black, 38                      1349.60               Mountain Frames                                    Components                                         61                   17                   NO
HL Touring Frame - Yellow, 46                      1003.91               Touring Frames                                     Components                                         79                   22                   NO
HL Touring Frame - Yellow, 50                      1003.91               Touring Frames                                     Components                                         79                   22                   NO
HL Touring Frame - Yellow, 54                      1003.91               Touring Frames                                     Components                                         79                   22                   NO
HL Touring Frame - Blue, 46                        1003.91               Touring Frames                                     Components                                         79                   22                   NO
HL Touring Frame - Blue, 50                        1003.91               Touring Frames                                     Components                                         79                   22                   NO
HL Touring Frame - Blue, 54                        1003.91               Touring Frames                                     Components                                         79                   22                   NO
HL Touring Frame - Blue, 60                        1003.91               Touring Frames                                     Components                                         79                   22                   NO
HL Touring Frame - Yellow, 60                      1003.91               Touring Frames                                     Components                                         79                   22                   NO
ML Road Frame - Red, 44                            594.83                Road Frames                                        Components                                         113                  30                   NO
ML Road Frame - Red, 48                            594.83                Road Frames                                        Components                                         113                  30                   NO
ML Road Frame - Red, 52                            594.83                Road Frames                                        Components                                         113                  30                   NO
ML Road Frame - Red, 58                            594.83                Road Frames                                        Components                                         113                  30                   NO
ML Road Frame - Red, 60                            594.83                Road Frames                                        Components                                         113                  30                   NO
ML Road Frame-W - Yellow, 38                       594.83                Road Frames                                        Components                                         113                  30                   NO
ML Road Frame-W - Yellow, 40                       594.83                Road Frames                                        Components                                         113                  30                   NO
ML Road Frame-W - Yellow, 42                       594.83                Road Frames                                        Components                                         113                  30                   NO
ML Road Frame-W - Yellow, 44                       594.83                Road Frames                                        Components                                         113                  30                   NO
ML Road Frame-W - Yellow, 48                       594.83                Road Frames                                        Components                                         113                  30                   NO
HL Crankset                                        404.99                Cranksets                                          Components                                         137                  40                   NO
ML Mountain Frame-W - Silver, 38                   364.09                Mountain Frames                                    Components                                         138                  41                   NO
ML Mountain Frame-W - Silver, 40                   364.09                Mountain Frames                                    Components                                         138                  41                   NO
ML Mountain Frame-W - Silver, 42                   364.09                Mountain Frames                                    Components                                         138                  41                   NO
ML Mountain Frame-W - Silver, 46                   364.09                Mountain Frames                                    Components                                         138                  41                   NO
HL Road Rear Wheel                                 357.06                Wheels                                             Components                                         142                  45                   NO
ML Mountain Frame - Black, 40                      348.76                Mountain Frames                                    Components                                         143                  46                   NO
ML Mountain Frame - Black, 44                      348.76                Mountain Frames                                    Components                                         143                  46                   NO
ML Mountain Frame - Black, 48                      348.76                Mountain Frames                                    Components                                         143                  46                   NO
ML Mountain Frame - Black, 38                      348.76                Mountain Frames                                    Components                                         143                  46                   NO
LL Road Frame - Black, 44                          337.22                Road Frames                                        Components                                         147                  50                   NO
LL Road Frame - Black, 48                          337.22                Road Frames                                        Components                                         147                  50                   NO
LL Road Frame - Black, 52                          337.22                Road Frames                                        Components                                         147                  50                   NO
LL Road Frame - Black, 58                          337.22                Road Frames                                        Components                                         147                  50                   NO
LL Road Frame - Black, 60                          337.22                Road Frames                                        Components                                         147                  50                   NO
LL Road Frame - Black, 62                          337.22                Road Frames                                        Components                                         147                  50                   NO
LL Road Frame - Red, 44                            337.22                Road Frames                                        Components                                         147                  50                   NO
LL Road Frame - Red, 48                            337.22                Road Frames                                        Components                                         147                  50                   NO
LL Road Frame - Red, 52                            337.22                Road Frames                                        Components                                         147                  50                   NO
LL Road Frame - Red, 58                            337.22                Road Frames                                        Components                                         147                  50                   NO
LL Road Frame - Red, 60                            337.22                Road Frames                                        Components                                         147                  50                   NO
LL Road Frame - Red, 62                            337.22                Road Frames                                        Components                                         147                  50                   NO
LL Touring Frame - Yellow, 62                      333.42                Touring Frames                                     Components                                         159                  62                   NO
LL Touring Frame - Blue, 50                        333.42                Touring Frames                                     Components                                         159                  62                   NO
LL Touring Frame - Blue, 54                        333.42                Touring Frames                                     Components                                         159                  62                   NO
LL Touring Frame - Blue, 58                        333.42                Touring Frames                                     Components                                         159                  62                   NO
LL Touring Frame - Blue, 62                        333.42                Touring Frames                                     Components                                         159                  62                   NO
LL Touring Frame - Yellow, 44                      333.42                Touring Frames                                     Components                                         159                  62                   NO
LL Touring Frame - Yellow, 50                      333.42                Touring Frames                                     Components                                         159                  62                   NO
LL Touring Frame - Yellow, 54                      333.42                Touring Frames                                     Components                                         159                  62                   NO
LL Touring Frame - Yellow, 58                      333.42                Touring Frames                                     Components                                         159                  62                   NO
LL Touring Frame - Blue, 44                        333.42                Touring Frames                                     Components                                         159                  62                   NO
HL Road Front Wheel                                330.06                Wheels                                             Components                                         169                  72                   NO
HL Mountain Rear Wheel                             327.215               Wheels                                             Components                                         170                  73                   NO
HL Mountain Front Wheel                            300.215               Wheels                                             Components                                         171                  74                   NO
ML Road Rear Wheel                                 275.385               Wheels                                             Components                                         172                  75                   NO
LL Mountain Frame - Silver, 42                     264.05                Mountain Frames                                    Components                                         173                  76                   NO
LL Mountain Frame - Silver, 44                     264.05                Mountain Frames                                    Components                                         173                  76                   NO
LL Mountain Frame - Silver, 48                     264.05                Mountain Frames                                    Components                                         173                  76                   NO
LL Mountain Frame - Silver, 52                     264.05                Mountain Frames                                    Components                                         173                  76                   NO
LL Mountain Frame - Silver, 40                     264.05                Mountain Frames                                    Components                                         173                  76                   NO
ML Crankset                                        256.49                Cranksets                                          Components                                         178                  81                   NO
LL Mountain Frame - Black, 40                      249.79                Mountain Frames                                    Components                                         179                  82                   NO
LL Mountain Frame - Black, 42                      249.79                Mountain Frames                                    Components                                         179                  82                   NO
LL Mountain Frame - Black, 44                      249.79                Mountain Frames                                    Components                                         179                  82                   NO
LL Mountain Frame - Black, 48                      249.79                Mountain Frames                                    Components                                         179                  82                   NO
LL Mountain Frame - Black, 52                      249.79                Mountain Frames                                    Components                                         179                  82                   NO
ML Road Front Wheel                                248.385               Wheels                                             Components                                         184                  87                   NO
Touring Rear Wheel                                 245.01                Wheels                                             Components                                         185                  88                   NO
ML Mountain Rear Wheel                             236.025               Wheels                                             Components                                         186                  89                   NO
HL Fork                                            229.49                Forks                                              Components                                         187                  90                   NO
Touring Front Wheel                                218.01                Wheels                                             Components                                         188                  91                   NO
ML Mountain Front Wheel                            209.025               Wheels                                             Components                                         189                  92                   NO
ML Fork                                            175.49                Forks                                              Components                                         190                  93                   NO
LL Crankset                                        175.49                Cranksets                                          Components                                         190                  93                   NO
LL Fork                                            148.22                Forks                                              Components                                         193                  95                   NO
HL Headset                                         124.73                Headsets                                           Components                                         195                  96                   NO
HL Bottom Bracket                                  121.49                Bottom Brackets                                    Components                                         196                  97                   NO
Rear Derailleur                                    121.46                Derailleurs                                        Components                                         197                  98                   NO
HL Road Handlebars                                 120.27                Handlebars                                         Components                                         198                  99                   NO
HL Mountain Handlebars                             120.27                Handlebars                                         Components                                         198                  99                   NO
LL Road Rear Wheel                                 112.565               Wheels                                             Components                                         201                  101                  NO
Rear Brakes                                        106.50                Brakes                                             Components                                         202                  102                  NO
Front Brakes                                       106.50                Brakes                                             Components                                         202                  102                  NO
ML Headset                                         102.29                Headsets                                           Components                                         204                  104                  NO
ML Bottom Bracket                                  101.24                Bottom Brackets                                    Components                                         205                  105                  NO
HL Touring Handlebars                              91.57                 Handlebars                                         Components                                         206                  106                  NO
Front Derailleur                                   91.49                 Derailleurs                                        Components                                         207                  107                  NO
LL Mountain Rear Wheel                             87.745                Wheels                                             Components                                         211                  108                  NO
LL Road Front Wheel                                85.565                Wheels                                             Components                                         212                  109                  NO
HL Mountain Pedal                                  80.99                 Pedals                                             Components                                         213                  110                  NO
HL Road Pedal                                      80.99                 Pedals                                             Components                                         213                  110                  NO
Touring Pedal                                      80.99                 Pedals                                             Components                                         213                  110                  NO
ML Mountain Pedal                                  62.09                 Pedals                                             Components                                         225                  113                  NO
ML Road Pedal                                      62.09                 Pedals                                             Components                                         225                  113                  NO
ML Mountain Handlebars                             61.92                 Handlebars                                         Components                                         227                  115                  NO
ML Road Handlebars                                 61.92                 Handlebars                                         Components                                         227                  115                  NO
LL Mountain Front Wheel                            60.745                Wheels                                             Components                                         229                  117                  NO
LL Bottom Bracket                                  53.99                 Bottom Brackets                                    Components                                         235                  118                  NO
HL Touring Seat/Saddle                             52.64                 Saddles                                            Components                                         240                  119                  NO
HL Mountain Seat/Saddle                            52.64                 Saddles                                            Components                                         240                  119                  NO
HL Road Seat/Saddle                                52.64                 Saddles                                            Components                                         240                  119                  NO
LL Touring Handlebars                              46.09                 Handlebars                                         Components                                         247                  122                  NO
LL Road Handlebars                                 44.54                 Handlebars                                         Components                                         249                  123                  NO
LL Mountain Handlebars                             44.54                 Handlebars                                         Components                                         249                  123                  NO
LL Road Pedal                                      40.49                 Pedals                                             Components                                         251                  125                  NO
LL Mountain Pedal                                  40.49                 Pedals                                             Components                                         251                  125                  NO
ML Road Seat/Saddle                                39.14                 Saddles                                            Components                                         253                  127                  NO
ML Touring Seat/Saddle                             39.14                 Saddles                                            Components                                         253                  127                  NO
ML Mountain Seat/Saddle                            39.14                 Saddles                                            Components                                         253                  127                  NO
LL Headset                                         34.20                 Headsets                                           Components                                         264                  130                  NO
LL Mountain Seat/Saddle                            27.12                 Saddles                                            Components                                         268                  131                  NO
LL Touring Seat/Saddle                             27.12                 Saddles                                            Components                                         268                  131                  NO
LL Road Seat/Saddle                                27.12                 Saddles                                            Components                                         268                  131                  NO
Chain                                              20.24                 Chains                                             Components                                         280                  134                  NO

(295 rows affected)


Completion time: 2022-09-12T11:22:09.2295167+05:30
