PurchaseOrderID OrderDate               TotalDue              Name
361             2013-05-22 00:00:00.000 31160.2541            International Bicycles
362             2013-05-22 00:00:00.000 4103.2241             International Sport Assoc.
363             2013-05-22 00:00:00.000 22047.6506            Jackson Authority
364             2013-05-22 00:00:00.000 7227.4293             Trey Research
365             2013-05-23 00:00:00.000 6311.1799             Lakewood Bicycle
366             2013-05-23 00:00:00.000 625.5256              Leaf River Terrain
370             2013-05-23 00:00:00.000 48485.6873            Mitchell Sports
373             2013-05-23 00:00:00.000 510.278               National Bike Association
376             2013-05-23 00:00:00.000 23821.6729            Premier Sport, Inc.
378             2013-05-23 00:00:00.000 95273.9288            Professional Athletic Consultants
379             2013-05-23 00:00:00.000 514.1416              Ready Rentals
381             2013-05-29 00:00:00.000 44720.676             Signature Cycles
383             2013-05-29 00:00:00.000 26157.2561            Sport Fan Co.
384             2013-05-29 00:00:00.000 6572.8163             Sport Playground
385             2013-05-29 00:00:00.000 100685.3348           Superior Bicycles
386             2013-05-29 00:00:00.000 580.125               SUPERSALES INC.
387             2013-05-29 00:00:00.000 2214.0703             Training Systems
388             2013-05-29 00:00:00.000 29233.0789            Trikes, Inc.
389             2013-05-29 00:00:00.000 1043.5289             Varsity Sport Co.
390             2013-05-29 00:00:00.000 53246.193             Victory Bikes
391             2013-05-29 00:00:00.000 29526.6221            Vision Cycles, Inc.
392             2013-05-29 00:00:00.000 41817.1504            Vista Road Bikes
393             2013-06-11 00:00:00.000 28212.0589            West Junction Cycles
397             2013-06-25 00:00:00.000 927.968               Advanced Bicycles
398             2013-06-25 00:00:00.000 9776.2665             Allenson Cycles
400             2013-06-25 00:00:00.000 22539.0165            American Bikes
401             2013-06-25 00:00:00.000 16164.0229            Anderson's Custom Bikes
402             2013-06-25 00:00:00.000 36852.4406            Proseware, Inc.
405             2013-07-12 00:00:00.000 1984.6192             Beaumont Bikes
407             2013-07-12 00:00:00.000 38281.8686            Bicycle Specialists
408             2013-07-12 00:00:00.000 2032.6535             Bike Satellite Inc.
412             2013-07-22 00:00:00.000 15104.7146            Capital Road Cycles
413             2013-07-30 00:00:00.000 10992.9047            Carlson Specialties
414             2013-07-30 00:00:00.000 31319.7885            Chicago City Saddles
415             2013-07-30 00:00:00.000 609.8274              Chicago Rent-All
416             2013-07-30 00:00:00.000 7721.4638             Circuit Cycles
417             2013-08-04 00:00:00.000 2214.0703             Training Systems
418             2013-08-04 00:00:00.000 29233.0789            Trikes, Inc.
419             2013-08-04 00:00:00.000 1043.5289             Varsity Sport Co.
420             2013-08-04 00:00:00.000 3758.6299             Victory Bikes
421             2013-08-04 00:00:00.000 69442.1228            Vision Cycles, Inc.
422             2013-08-04 00:00:00.000 41817.1504            Vista Road Bikes
423             2013-08-04 00:00:00.000 28212.0589            West Junction Cycles
427             2013-08-04 00:00:00.000 844.43                Advanced Bicycles
428             2013-08-04 00:00:00.000 9776.2665             Allenson Cycles
430             2013-08-04 00:00:00.000 22539.0165            American Bikes
431             2013-08-04 00:00:00.000 16164.0229            Anderson's Custom Bikes
432             2013-08-04 00:00:00.000 27995.0921            Proseware, Inc.
435             2013-08-05 00:00:00.000 1984.6192             Beaumont Bikes
436             2013-08-05 00:00:00.000 553.8221              Bergeron Off-Roads
437             2013-08-05 00:00:00.000 38281.8686            Bicycle Specialists
438             2013-08-05 00:00:00.000 2032.6535             Bike Satellite Inc.
442             2013-08-05 00:00:00.000 15104.7146            Capital Road Cycles
443             2013-08-05 00:00:00.000 10649.0066            Carlson Specialties
444             2013-08-05 00:00:00.000 37701.1635            Chicago City Saddles
445             2013-08-05 00:00:00.000 609.8274              Chicago Rent-All
446             2013-08-05 00:00:00.000 7721.4638             Circuit Cycles
447             2013-08-05 00:00:00.000 31019.8639            Comfort Road Bicycles
448             2013-08-05 00:00:00.000 41230.0639            Compete Enterprises, Inc
449             2013-08-06 00:00:00.000 8423.415              Compete, Inc.
450             2013-08-06 00:00:00.000 31268.7375            Competition Bike Training Systems
453             2013-08-06 00:00:00.000 48485.6873            Crowley Sport
455             2013-08-06 00:00:00.000 54560.7563            Custom Frames, Inc.
457             2013-08-06 00:00:00.000 53073.8959            Electronic Bike Repair & Supplies
458             2013-08-06 00:00:00.000 56480.6915            Expert Bike Co
459             2013-08-06 00:00:00.000 1410.2839             Federal Sport
460             2013-08-06 00:00:00.000 2214.3371             First National Sport Co.
461             2013-08-06 00:00:00.000 24880.9811            First Rate Bicycles
462             2013-08-06 00:00:00.000 502.6203              Gardner Touring Cycles
463             2013-08-06 00:00:00.000 48485.6873            Greenwood Athletic Company
464             2013-08-06 00:00:00.000 7880.9981             Hill Bicycle Center
465             2013-08-07 00:00:00.000 31319.7885            Hill's Bicycle Service
466             2013-08-07 00:00:00.000 24880.9811            Hybrid Bicycle Center
467             2013-08-07 00:00:00.000 38281.8686            Inline Accessories
468             2013-08-07 00:00:00.000 767.0528              Inner City Bikes
470             2013-08-07 00:00:00.000 31160.2541            International Bicycles
471             2013-08-07 00:00:00.000 4103.2241             International Sport Assoc.
472             2013-08-07 00:00:00.000 48485.6873            Jackson Authority
473             2013-08-07 00:00:00.000 10828.6133            Trey Research
474             2013-08-07 00:00:00.000 6311.1799             Lakewood Bicycle
475             2013-08-07 00:00:00.000 1661.0139             Leaf River Terrain
479             2013-08-07 00:00:00.000 48485.6873            Mitchell Sports
481             2013-08-08 00:00:00.000 625.5256              Mountain Works
482             2013-08-08 00:00:00.000 510.278               National Bike Association
485             2013-08-08 00:00:00.000 23821.6729            Premier Sport, Inc.
486             2013-08-08 00:00:00.000 560.3312              Pro Sport Industries
487             2013-08-08 00:00:00.000 95273.9288            Professional Athletic Consultants
488             2013-08-08 00:00:00.000 769.6634              Ready Rentals
489             2013-08-08 00:00:00.000 733.1155              Reliance Fitness, Inc.
490             2013-08-08 00:00:00.000 44720.676             Signature Cycles
492             2013-08-08 00:00:00.000 42455.2879            Sport Fan Co.
493             2013-08-08 00:00:00.000 6572.8163             Sport Playground
494             2013-08-08 00:00:00.000 100685.3348           Superior Bicycles
495             2013-08-08 00:00:00.000 580.125               SUPERSALES INC.
496             2013-08-08 00:00:00.000 2214.0703             Training Systems
497             2013-08-10 00:00:00.000 29233.0789            Trikes, Inc.
498             2013-08-10 00:00:00.000 1043.5289             Varsity Sport Co.
499             2013-08-10 00:00:00.000 57004.8229            Victory Bikes
500             2013-08-10 00:00:00.000 69442.1228            Vision Cycles, Inc.
501             2013-08-10 00:00:00.000 41817.1504            Vista Road Bikes
502             2013-08-10 00:00:00.000 28212.0589            West Junction Cycles
506             2013-08-11 00:00:00.000 514.1416              Advanced Bicycles
507             2013-08-11 00:00:00.000 9776.2665             Allenson Cycles
509             2013-08-11 00:00:00.000 22539.0165            American Bikes
510             2013-08-11 00:00:00.000 16164.0229            Anderson's Custom Bikes
511             2013-08-11 00:00:00.000 64847.5328            Proseware, Inc.
515             2013-08-11 00:00:00.000 2819.1987             Bergeron Off-Roads
516             2013-08-11 00:00:00.000 38281.8686            Bicycle Specialists
517             2013-08-11 00:00:00.000 2032.6535             Bike Satellite Inc.
521             2013-08-12 00:00:00.000 15104.7146            Capital Road Cycles
522             2013-08-12 00:00:00.000 7465.5126             Carlson Specialties
523             2013-08-12 00:00:00.000 56200.7696            Chicago City Saddles
524             2013-08-12 00:00:00.000 609.8274              Chicago Rent-All
525             2013-08-12 00:00:00.000 7721.4638             Circuit Cycles
526             2013-08-12 00:00:00.000 31019.8639            Comfort Road Bicycles
527             2013-08-12 00:00:00.000 41230.0639            Compete Enterprises, Inc
528             2013-08-12 00:00:00.000 8423.415              Compete, Inc.
529             2013-08-12 00:00:00.000 31268.7375            Competition Bike Training Systems
532             2013-08-12 00:00:00.000 48485.6873            Crowley Sport
534             2013-08-12 00:00:00.000 16744.728             Custom Frames, Inc.
536             2013-08-12 00:00:00.000 53073.8959            Electronic Bike Repair & Supplies
537             2013-08-13 00:00:00.000 31019.8639            Comfort Road Bicycles
538             2013-08-13 00:00:00.000 41230.0639            Compete Enterprises, Inc
539             2013-08-13 00:00:00.000 8423.415              Compete, Inc.
540             2013-08-13 00:00:00.000 31268.7375            Competition Bike Training Systems
541             2013-08-13 00:00:00.000 608.818               Expert Bike Co
542             2013-08-13 00:00:00.000 1410.2839             Federal Sport
543             2013-08-13 00:00:00.000 2214.3371             First National Sport Co.
544             2013-08-13 00:00:00.000 31319.7885            First Rate Bicycles
545             2013-08-13 00:00:00.000 502.6203              Gardner Touring Cycles
546             2013-08-13 00:00:00.000 48485.6873            Greenwood Athletic Company
547             2013-08-13 00:00:00.000 7880.9981             Hill Bicycle Center
548             2013-08-13 00:00:00.000 31319.7885            Hill's Bicycle Service
549             2013-08-13 00:00:00.000 24880.9811            Hybrid Bicycle Center
550             2013-08-13 00:00:00.000 38281.8686            Inline Accessories
551             2013-08-13 00:00:00.000 588.8733              Inner City Bikes
553             2013-08-13 00:00:00.000 31160.2541            International Bicycles
554             2013-08-13 00:00:00.000 4103.2241             International Sport Assoc.
555             2013-08-13 00:00:00.000 22047.6506            Jackson Authority
556             2013-08-13 00:00:00.000 14763.9492            Trey Research
557             2013-08-14 00:00:00.000 6311.1799             Lakewood Bicycle
558             2013-08-14 00:00:00.000 769.6634              Leaf River Terrain
562             2013-08-14 00:00:00.000 48485.6873            Mitchell Sports
565             2013-08-14 00:00:00.000 510.278               National Bike Association
566             2013-08-14 00:00:00.000 532.4852              Norstan Bike Hut
568             2013-08-14 00:00:00.000 23821.6729            Premier Sport, Inc.
569             2013-08-14 00:00:00.000 626.9527              Pro Sport Industries
570             2013-08-14 00:00:00.000 72090.3934            Professional Athletic Consultants
571             2013-08-14 00:00:00.000 590.9618              Ready Rentals
573             2013-08-15 00:00:00.000 44720.676             Signature Cycles
575             2013-08-15 00:00:00.000 26157.2561            Sport Fan Co.
576             2013-08-15 00:00:00.000 6572.8163             Sport Playground
577             2013-08-15 00:00:00.000 100685.3348           Superior Bicycles
578             2013-08-15 00:00:00.000 580.125               SUPERSALES INC.
579             2013-08-15 00:00:00.000 2214.0703             Training Systems
580             2013-08-15 00:00:00.000 29233.0789            Trikes, Inc.
581             2013-08-15 00:00:00.000 1043.5289             Varsity Sport Co.
582             2013-08-15 00:00:00.000 49276.9778            Victory Bikes
583             2013-08-15 00:00:00.000 69442.1228            Vision Cycles, Inc.
584             2013-08-15 00:00:00.000 41817.1504            Vista Road Bikes
585             2013-08-15 00:00:00.000 28212.0589            West Junction Cycles
586             2013-08-15 00:00:00.000 553.8221              WestAmerica Bicycle Co.
589             2013-08-17 00:00:00.000 769.6634              Advanced Bicycles
590             2013-08-17 00:00:00.000 9776.2665             Allenson Cycles
592             2013-08-17 00:00:00.000 22539.0165            American Bikes
593             2013-08-18 00:00:00.000 16164.0229            Anderson's Custom Bikes
594             2013-08-18 00:00:00.000 36852.4406            Proseware, Inc.
595             2013-08-18 00:00:00.000 1187.6319             Aurora Bike Center
596             2013-08-18 00:00:00.000 553.8221              Australia Bike Retailer
597             2013-08-18 00:00:00.000 1685.3792             Beaumont Bikes
598             2013-08-18 00:00:00.000 697.6816              Bergeron Off-Roads
599             2013-08-18 00:00:00.000 38281.8686            Bicycle Specialists
600             2013-08-18 00:00:00.000 2032.6535             Bike Satellite Inc.
604             2013-08-18 00:00:00.000 15104.7146            Capital Road Cycles
605             2013-08-18 00:00:00.000 18114.5192            Carlson Specialties
606             2013-08-18 00:00:00.000 43380.5873            Chicago City Saddles
607             2013-08-18 00:00:00.000 609.8274              Chicago Rent-All
608             2013-08-18 00:00:00.000 7721.4638             Circuit Cycles
611             2013-08-19 00:00:00.000 48485.6873            Crowley Sport
613             2013-08-19 00:00:00.000 31019.8639            Comfort Road Bicycles
614             2013-08-19 00:00:00.000 39111.4474            Compete Enterprises, Inc
615             2013-08-19 00:00:00.000 8423.415              Compete, Inc.
616             2013-08-19 00:00:00.000 31268.7375            Competition Bike Training Systems
618             2013-08-19 00:00:00.000 626.9527              Continental Pro Cycles
619             2013-08-19 00:00:00.000 48485.6873            Crowley Sport
621             2013-08-19 00:00:00.000 30222.192             Custom Frames, Inc.
623             2013-08-19 00:00:00.000 53073.8959            Electronic Bike Repair & Supplies
625             2013-08-19 00:00:00.000 1410.2839             Federal Sport
626             2013-08-19 00:00:00.000 2214.3371             First National Sport Co.
627             2013-08-19 00:00:00.000 24880.9811            First Rate Bicycles
628             2013-08-19 00:00:00.000 502.6203              Gardner Touring Cycles
629             2013-08-20 00:00:00.000 48485.6873            Greenwood Athletic Company
630             2013-08-20 00:00:00.000 7880.9981             Hill Bicycle Center
631             2013-08-20 00:00:00.000 31319.7885            Hill's Bicycle Service
632             2013-08-20 00:00:00.000 24880.9811            Hybrid Bicycle Center
633             2013-08-20 00:00:00.000 38281.8686            Inline Accessories
636             2013-08-20 00:00:00.000 31160.2541            International Bicycles
637             2013-08-21 00:00:00.000 28984.2053            Custom Frames, Inc.
639             2013-08-21 00:00:00.000 53073.8959            Electronic Bike Repair & Supplies
640             2013-08-21 00:00:00.000 31456.2687            Expert Bike Co
641             2013-08-21 00:00:00.000 4103.2241             International Sport Assoc.
642             2013-08-21 00:00:00.000 48485.6873            Jackson Authority
643             2013-08-21 00:00:00.000 3292.0934             Trey Research
644             2013-08-21 00:00:00.000 6311.1799             Lakewood Bicycle
645             2013-08-21 00:00:00.000 1516.8761             Leaf River Terrain
649             2013-08-21 00:00:00.000 48485.6873            Mitchell Sports
651             2013-08-21 00:00:00.000 569.8336              Mountain Works
652             2013-08-21 00:00:00.000 510.278               National Bike Association
655             2013-08-21 00:00:00.000 23821.6729            Premier Sport, Inc.
656             2013-08-21 00:00:00.000 603.1444              Pro Sport Industries
657             2013-08-22 00:00:00.000 23183.5354            Professional Athletic Consultants
658             2013-08-22 00:00:00.000 665.2409              Ready Rentals
659             2013-08-22 00:00:00.000 767.923               Reliance Fitness, Inc.
660             2013-08-22 00:00:00.000 44720.676             Signature Cycles
661             2013-08-22 00:00:00.000 616.0232              Speed Corporation
662             2013-08-22 00:00:00.000 42455.2879            Sport Fan Co.
663             2013-08-22 00:00:00.000 6572.8163             Sport Playground
664             2013-08-22 00:00:00.000 100685.3348           Superior Bicycles
665             2013-08-22 00:00:00.000 580.125               SUPERSALES INC.
666             2013-08-22 00:00:00.000 2214.0703             Training Systems
667             2013-08-22 00:00:00.000 29233.0789            Trikes, Inc.
668             2013-08-22 00:00:00.000 1043.5289             Varsity Sport Co.
669             2013-08-22 00:00:00.000 7727.8451             Victory Bikes
670             2013-08-22 00:00:00.000 69442.1228            Vision Cycles, Inc.
671             2013-08-22 00:00:00.000 41817.1504            Vista Road Bikes
672             2013-08-22 00:00:00.000 28212.0589            West Junction Cycles
676             2013-08-25 00:00:00.000 590.9618              Advanced Bicycles
677             2013-08-25 00:00:00.000 9776.2665             Allenson Cycles
679             2013-08-25 00:00:00.000 22539.0165            American Bikes
680             2013-08-25 00:00:00.000 16164.0229            Anderson's Custom Bikes
681             2013-08-25 00:00:00.000 27995.0921            Proseware, Inc.
685             2013-08-25 00:00:00.000 2675.3392             Bergeron Off-Roads
686             2013-08-25 00:00:00.000 38281.8686            Bicycle Specialists
687             2013-08-25 00:00:00.000 2032.6535             Bike Satellite Inc.
691             2013-08-26 00:00:00.000 15104.7146            Capital Road Cycles
692             2013-08-26 00:00:00.000 7121.6145             Carlson Specialties
693             2013-08-26 00:00:00.000 56200.7696            Chicago City Saddles
694             2013-08-26 00:00:00.000 609.8274              Chicago Rent-All
695             2013-08-26 00:00:00.000 7721.4638             Circuit Cycles
696             2013-08-26 00:00:00.000 31019.8639            Comfort Road Bicycles
697             2013-08-26 00:00:00.000 2118.6165             Compete Enterprises, Inc
698             2013-08-26 00:00:00.000 8423.415              Compete, Inc.
699             2013-08-26 00:00:00.000 31268.7375            Competition Bike Training Systems
702             2013-08-26 00:00:00.000 48485.6873            Crowley Sport
704             2013-08-26 00:00:00.000 11748.1114            Custom Frames, Inc.
706             2013-08-27 00:00:00.000 53073.8959            Electronic Bike Repair & Supplies
707             2013-08-27 00:00:00.000 24880.9811            Expert Bike Co
708             2013-08-27 00:00:00.000 1410.2839             Federal Sport
709             2013-08-27 00:00:00.000 2214.3371             First National Sport Co.
710             2013-08-27 00:00:00.000 56200.7696            First Rate Bicycles
711             2013-08-27 00:00:00.000 502.6203              Gardner Touring Cycles
712             2013-08-27 00:00:00.000 48485.6873            Greenwood Athletic Company
713             2013-08-27 00:00:00.000 7880.9981             Hill Bicycle Center
714             2013-08-27 00:00:00.000 31319.7885            Hill's Bicycle Service
715             2013-08-27 00:00:00.000 24880.9811            Hybrid Bicycle Center
716             2013-08-27 00:00:00.000 38281.8686            Inline Accessories
719             2013-08-27 00:00:00.000 31160.2541            International Bicycles
720             2013-08-27 00:00:00.000 4103.2241             International Sport Assoc.
721             2013-08-28 00:00:00.000 22047.6506            Jackson Authority
722             2013-08-28 00:00:00.000 7227.4293             Trey Research
723             2013-08-28 00:00:00.000 6311.1799             Lakewood Bicycle
728             2013-08-28 00:00:00.000 48485.6873            Mitchell Sports
731             2013-08-28 00:00:00.000 510.278               National Bike Association
734             2013-08-28 00:00:00.000 23821.6729            Premier Sport, Inc.
735             2013-08-28 00:00:00.000 884.1105              Pro Sport Industries
736             2013-08-28 00:00:00.000 95273.9288            Professional Athletic Consultants
738             2013-08-29 00:00:00.000 589.5695              Reliance Fitness, Inc.
739             2013-08-29 00:00:00.000 44720.676             Signature Cycles
741             2013-08-29 00:00:00.000 26157.2561            Sport Fan Co.
742             2013-08-29 00:00:00.000 6572.8163             Sport Playground
743             2013-08-29 00:00:00.000 100685.3348           Superior Bicycles
744             2013-08-29 00:00:00.000 580.125               SUPERSALES INC.
745             2013-08-29 00:00:00.000 2214.0703             Training Systems
746             2013-08-29 00:00:00.000 29233.0789            Trikes, Inc.
747             2013-08-29 00:00:00.000 1043.5289             Varsity Sport Co.
748             2013-08-29 00:00:00.000 57004.8229            Victory Bikes
749             2013-08-29 00:00:00.000 69442.1228            Vision Cycles, Inc.
750             2013-08-29 00:00:00.000 41817.1504            Vista Road Bikes
751             2013-08-29 00:00:00.000 28212.0589            West Junction Cycles
753             2013-08-30 00:00:00.000 1410.2839             Federal Sport
754             2013-08-30 00:00:00.000 2214.3371             First National Sport Co.
755             2013-08-30 00:00:00.000 56200.7696            First Rate Bicycles
756             2013-08-30 00:00:00.000 502.6203              Gardner Touring Cycles
759             2013-09-01 00:00:00.000 665.2409              Advanced Bicycles
760             2013-09-01 00:00:00.000 9776.2665             Allenson Cycles
762             2013-09-01 00:00:00.000 22539.0165            American Bikes
763             2013-09-01 00:00:00.000 16164.0229            Anderson's Custom Bikes
764             2013-09-01 00:00:00.000 36852.4406            Proseware, Inc.
765             2013-09-01 00:00:00.000 2370.704              Aurora Bike Center
767             2013-09-01 00:00:00.000 1685.3792             Beaumont Bikes
768             2013-09-01 00:00:00.000 697.6816              Bergeron Off-Roads
769             2013-09-01 00:00:00.000 38281.8686            Bicycle Specialists
770             2013-09-01 00:00:00.000 2032.6535             Bike Satellite Inc.
774             2013-09-02 00:00:00.000 15104.7146            Capital Road Cycles
775             2013-09-02 00:00:00.000 10992.9047            Carlson Specialties
776             2013-09-02 00:00:00.000 69020.952             Chicago City Saddles
777             2013-09-02 00:00:00.000 609.8274              Chicago Rent-All
778             2013-09-02 00:00:00.000 7721.4638             Circuit Cycles
779             2013-09-02 00:00:00.000 31019.8639            Comfort Road Bicycles
780             2013-09-02 00:00:00.000 41230.0639            Compete Enterprises, Inc
781             2013-09-02 00:00:00.000 8423.415              Compete, Inc.
782             2013-09-02 00:00:00.000 31268.7375            Competition Bike Training Systems
785             2013-09-02 00:00:00.000 48485.6873            Crowley Sport
786             2013-09-02 00:00:00.000 525.28                Cruger Bike Company
787             2013-09-02 00:00:00.000 46966.92              Custom Frames, Inc.
789             2013-09-03 00:00:00.000 53073.8959            Electronic Bike Repair & Supplies
791             2013-09-03 00:00:00.000 1410.2839             Federal Sport
792             2013-09-03 00:00:00.000 2214.3371             First National Sport Co.
793             2013-09-03 00:00:00.000 56200.7696            First Rate Bicycles
794             2013-09-03 00:00:00.000 502.6203              Gardner Touring Cycles
795             2013-09-03 00:00:00.000 48485.6873            Greenwood Athletic Company
796             2013-09-03 00:00:00.000 7880.9981             Hill Bicycle Center
797             2013-09-03 00:00:00.000 31319.7885            Hill's Bicycle Service
798             2013-09-03 00:00:00.000 24880.9811            Hybrid Bicycle Center
799             2013-09-03 00:00:00.000 38281.8686            Inline Accessories
802             2013-09-03 00:00:00.000 31160.2541            International Bicycles
803             2013-09-03 00:00:00.000 4103.2241             International Sport Assoc.
804             2013-09-03 00:00:00.000 48485.6873            Jackson Authority
805             2013-09-04 00:00:00.000 10828.6133            Trey Research
806             2013-09-04 00:00:00.000 6311.1799             Lakewood Bicycle
807             2013-09-04 00:00:00.000 900.122               Leaf River Terrain
811             2013-09-04 00:00:00.000 48485.6873            Mitchell Sports
814             2013-09-04 00:00:00.000 510.278               National Bike Association
815             2013-09-04 00:00:00.000 1229.0528             Norstan Bike Hut
817             2013-09-04 00:00:00.000 23821.6729            Premier Sport, Inc.
818             2013-09-04 00:00:00.000 689.8499              Pro Sport Industries
819             2013-09-04 00:00:00.000 95273.9288            Professional Athletic Consultants
821             2013-09-05 00:00:00.000 624.1333              Reliance Fitness, Inc.
822             2013-09-05 00:00:00.000 44720.676             Signature Cycles
824             2013-09-05 00:00:00.000 42455.2879            Sport Fan Co.
825             2013-09-05 00:00:00.000 6572.8163             Sport Playground
826             2013-09-05 00:00:00.000 100685.3348           Superior Bicycles
827             2013-09-05 00:00:00.000 580.125               SUPERSALES INC.
828             2013-09-05 00:00:00.000 2214.0703             Training Systems
829             2013-09-05 00:00:00.000 29233.0789            Trikes, Inc.
830             2013-09-05 00:00:00.000 1043.5289             Varsity Sport Co.
831             2013-09-05 00:00:00.000 57004.8229            Victory Bikes
832             2013-09-05 00:00:00.000 39915.5006            Vision Cycles, Inc.
833             2013-09-05 00:00:00.000 41817.1504            Vista Road Bikes
834             2013-09-05 00:00:00.000 28212.0589            West Junction Cycles
835             2013-09-05 00:00:00.000 2278.1857             WestAmerica Bicycle Co.
837             2013-09-06 00:00:00.000 48485.6873            Greenwood Athletic Company
838             2013-09-06 00:00:00.000 7880.9981             Hill Bicycle Center
839             2013-09-06 00:00:00.000 31319.7885            Hill's Bicycle Service
840             2013-09-06 00:00:00.000 24880.9811            Hybrid Bicycle Center
843             2013-09-08 00:00:00.000 9776.2665             Allenson Cycles
845             2013-09-08 00:00:00.000 22539.0165            American Bikes
846             2013-09-08 00:00:00.000 16164.0229            Anderson's Custom Bikes
847             2013-09-08 00:00:00.000 27995.0921            Proseware, Inc.
848             2013-09-08 00:00:00.000 766.1827              Aurora Bike Center
849             2013-09-08 00:00:00.000 767.0528              Australia Bike Retailer
850             2013-09-08 00:00:00.000 1984.6192             Beaumont Bikes
851             2013-09-08 00:00:00.000 512.0531              Bergeron Off-Roads
852             2013-09-08 00:00:00.000 38281.8686            Bicycle Specialists
853             2013-09-08 00:00:00.000 2032.6535             Bike Satellite Inc.
857             2013-09-09 00:00:00.000 15104.7146            Capital Road Cycles
858             2013-09-09 00:00:00.000 18114.5192            Carlson Specialties
859             2013-09-09 00:00:00.000 43380.5873            Chicago City Saddles
860             2013-09-09 00:00:00.000 609.8274              Chicago Rent-All
861             2013-09-09 00:00:00.000 7721.4638             Circuit Cycles
862             2013-09-09 00:00:00.000 31019.8639            Comfort Road Bicycles
863             2013-09-09 00:00:00.000 41230.0639            Compete Enterprises, Inc
864             2013-09-09 00:00:00.000 4658.4038             Compete, Inc.
865             2013-09-09 00:00:00.000 31268.7375            Competition Bike Training Systems
867             2013-09-09 00:00:00.000 770.6381              Continental Pro Cycles
868             2013-09-09 00:00:00.000 48485.6873            Crowley Sport
869             2013-09-09 00:00:00.000 703.4248              Cruger Bike Company
870             2013-09-09 00:00:00.000 15391.8765            Custom Frames, Inc.
872             2013-09-09 00:00:00.000 31817.5358            Electronic Bike Repair & Supplies
874             2013-09-10 00:00:00.000 1410.2839             Federal Sport
875             2013-09-10 00:00:00.000 2214.3371             First National Sport Co.
